"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZHX1",418.965126704786,-1.06741263722523,0.248916916751857,-4.28822858307105,1.80103698808256e-05,8.53122783828581e-05
"MCAM",123.339215421953,1.66626204312704,0.394171167801817,4.22725500807002,2.36559519108072e-05,0.000109181316511418
"MIR4527HG",10.2967502586847,-4.26974769204568,1.02147010777029,-4.18000258604323,2.91505780767651e-05,0.000131177601345443
"CACYBP",1945.75268243305,-1.16111408344229,0.285218363103507,-4.07096538528594,4.6818706777494e-05,0.000200651600474974
"DHDDS",1284.6084448194,-1.04108578948654,0.25563034035468,-4.07262216230695,4.64868037366844e-05,0.000200651600474974
"RRP7A",1406.12285183,-1.07590086253819,0.265163700201547,-4.05749679055018,4.96014986820885e-05,0.000204663600619331
"DKK3",615.034361760552,1.13566283317894,0.280394203953447,4.0502364783813,5.11659001548327e-05,0.000204663600619331
"PTP4A3",187.178678588609,1.24508806373782,0.307231991147746,4.05259901186224,5.06517761610312e-05,0.000204663600619331
"RAB13",156.144366046473,1.11352112992993,0.277950965496821,4.00617831256523,6.17090707938762e-05,0.000241470277019516
"DNM1",889.034435772024,1.12692030649794,0.283078064929939,3.98095241599468,6.86396901571875e-05,0.000262875409112633
"SEMA6B",742.427158384693,0.90679245411724,0.233935520688782,3.87624953853673,0.000106078895056299,0.000397795856461121
"BZW1P2",23.7791141688562,-2.0956980127314,0.541433091848717,-3.87065002912118,0.000108545529373244,0.000398738679330285
"CHRM4",59.8901318747045,1.40286263643094,0.373172684125058,3.75928543569606,0.000170399343335107,0.000613437636006384
"CRISPLD1",69.4783763742247,-1.28808015027454,0.344293527219761,-3.74122673950928,0.000183124214394041,0.00063389151136399
"RAB26",133.08150493804,1.45174170781161,0.387888349483745,3.74267932961582,0.000182068511224498,0.00063389151136399
"DHX8",1549.7070469597,-0.769432954340244,0.206099136162695,-3.73331479532672,0.000188976164125586,0.000641805840426519
"C5",118.068418390937,1.18460714149725,0.323829282271318,3.65812236987494,0.000254069742083992,0.000846899140279973
"PEX14",604.600499295102,-0.886559483588406,0.243122664259994,-3.64655218914648,0.000265782516930662,0.000869833691773077
"MCAT",378.283995396159,-1.09269527844823,0.302741802396992,-3.60933068970555,0.000306988062104022,0.000986747342477215
"SEPT14P24",3.59102513356945,-5.67428322246149,1.64246178737762,-3.45474291461059,0.000550817772867913,0.00173942454589867
"RAB37",26.2680409867681,2.34930814274493,0.68130707026444,3.44823684544046,0.000564259010773678,0.00175114865412521
"MFSD6",231.322377355191,0.988828939332262,0.292124036118664,3.38496260859065,0.000711879510727486,0.00217183579543979
"ZNF542P",446.046569378743,-1.22585753614108,0.364920857910678,-3.35924217420626,0.000781565430786351,0.00234469629235905
"PANX2",173.312615076629,0.934720773131092,0.284175002969991,3.28924347096707,0.00100457083880875,0.00296430739320614
"GRID2IP",44.9795362578251,1.55602891156184,0.485645646740395,3.20404171643614,0.00135512839996844,0.00393424374184387
"HTRA1",28.5270539555516,2.07408467887262,0.64919320073784,3.19486506715616,0.00139896229895872,0.00399703513988205
"MBIP",353.236559945529,-0.824967137940322,0.265812029229516,-3.10357337977358,0.00191198814313703,0.0053774666525729
"PPIP5K2",1262.9497107892,-1.05070928584018,0.339826789808302,-3.09189657011116,0.00198882132234655,0.0055075052003443
"GPKOW",550.363533075285,-0.774883354308636,0.251988062338053,-3.07507961733956,0.00210446367213904,0.00565378299977652
"HUS1",253.14526177014,-0.903074291453214,0.293414333639008,-3.07781245807943,0.00208526102615647,0.00565378299977652
"CFL1P1",41.1415145886869,1.27701916085097,0.416830601231758,3.0636406182207,0.00218661414198938,0.00578809625820717
"DHFR",871.838091792194,-0.771559183510424,0.252706403067982,-3.05318414627928,0.00226426945309545,0.00587485905525413
"FBXO38",752.912914524685,-0.639077460057885,0.209643427617997,-3.04840207641702,0.00230061879197266,0.00587485905525413
"ZIK1",6.18443781334618,-3.45778194960845,1.13510208612731,-3.04622993109418,0.00231730551623913,0.00587485905525413
"ITPR3",745.183796794358,0.716305475220268,0.240089299325444,2.9834960459829,0.00284975717850929,0.00712439294627323
"PSAT1",3708.36286078159,0.640792590856608,0.221997611962241,2.88648416166566,0.00389572354352136,0.00947608429505196
